name_model,code_model,docstring_model,nodoc_model,k,name_hits,code_hits,docstring_hits,nodoc_hits,total_methods
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,10,23,49,38,66,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,15,26,50,39,74,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,1,3,21,15,14,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,3,11,39,27,39,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,5,18,44,29,52,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,7,20,46,30,58,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,10,23,49,38,61,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,15,26,50,39,67,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,intfloat/e5-large-v2,1,3,21,15,15,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,intfloat/e5-large-v2,3,11,39,27,39,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,intfloat/e5-large-v2,5,18,44,29,55,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,intfloat/e5-large-v2,7,20,46,30,58,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,intfloat/e5-large-v2,10,23,49,38,63,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,intfloat/e5-large-v2,15,26,50,39,68,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,w601sxs/b1ade-embed,1,3,21,15,15,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,w601sxs/b1ade-embed,3,11,39,27,43,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,w601sxs/b1ade-embed,5,18,44,29,52,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,w601sxs/b1ade-embed,7,20,46,30,60,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,w601sxs/b1ade-embed,10,23,49,38,69,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,w601sxs/b1ade-embed,15,26,50,39,74,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,Alibaba-NLP/gte-large-en-v1.5,1,3,21,24,19,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,Alibaba-NLP/gte-large-en-v1.5,3,11,39,40,36,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,Alibaba-NLP/gte-large-en-v1.5,5,18,44,46,45,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,Alibaba-NLP/gte-large-en-v1.5,7,20,46,48,53,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,Alibaba-NLP/gte-large-en-v1.5,10,23,49,54,55,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,Alibaba-NLP/gte-large-en-v1.5,15,26,50,59,61,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,avsolatorio/GIST-Embedding-v0,1,3,21,24,13,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,avsolatorio/GIST-Embedding-v0,3,11,39,40,45,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,avsolatorio/GIST-Embedding-v0,5,18,44,46,58,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,avsolatorio/GIST-Embedding-v0,7,20,46,48,61,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,avsolatorio/GIST-Embedding-v0,10,23,49,54,64,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,avsolatorio/GIST-Embedding-v0,15,26,50,59,74,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,avsolatorio/GIST-large-Embedding-v0,1,3,21,24,17,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,avsolatorio/GIST-large-Embedding-v0,3,11,39,40,46,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,avsolatorio/GIST-large-Embedding-v0,5,18,44,46,55,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,avsolatorio/GIST-large-Embedding-v0,7,20,46,48,60,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,avsolatorio/GIST-large-Embedding-v0,10,23,49,54,66,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,avsolatorio/GIST-large-Embedding-v0,15,26,50,59,74,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,ibm-granite/granite-embedding-125m-english,1,3,21,24,14,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,ibm-granite/granite-embedding-125m-english,3,11,39,40,39,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,ibm-granite/granite-embedding-125m-english,5,18,44,46,52,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,ibm-granite/granite-embedding-125m-english,7,20,46,48,58,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,ibm-granite/granite-embedding-125m-english,10,23,49,54,61,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,ibm-granite/granite-embedding-125m-english,15,26,50,59,67,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,intfloat/e5-large-v2,1,3,21,24,15,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,intfloat/e5-large-v2,3,11,39,40,39,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,intfloat/e5-large-v2,5,18,44,46,55,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,intfloat/e5-large-v2,7,20,46,48,58,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,intfloat/e5-large-v2,10,23,49,54,63,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,intfloat/e5-large-v2,15,26,50,59,68,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,w601sxs/b1ade-embed,1,3,21,24,15,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,w601sxs/b1ade-embed,3,11,39,40,43,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,w601sxs/b1ade-embed,5,18,44,46,52,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,w601sxs/b1ade-embed,7,20,46,48,60,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,w601sxs/b1ade-embed,10,23,49,54,69,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-Embedding-v0,w601sxs/b1ade-embed,15,26,50,59,74,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,Alibaba-NLP/gte-large-en-v1.5,1,3,21,25,19,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,Alibaba-NLP/gte-large-en-v1.5,3,11,39,41,36,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,Alibaba-NLP/gte-large-en-v1.5,5,18,44,44,45,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,Alibaba-NLP/gte-large-en-v1.5,7,20,46,48,53,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,Alibaba-NLP/gte-large-en-v1.5,10,23,49,56,55,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,Alibaba-NLP/gte-large-en-v1.5,15,26,50,61,61,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,avsolatorio/GIST-Embedding-v0,1,3,21,25,13,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,avsolatorio/GIST-Embedding-v0,3,11,39,41,45,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,avsolatorio/GIST-Embedding-v0,5,18,44,44,58,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,avsolatorio/GIST-Embedding-v0,7,20,46,48,61,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,avsolatorio/GIST-Embedding-v0,10,23,49,56,64,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,avsolatorio/GIST-Embedding-v0,15,26,50,61,74,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,avsolatorio/GIST-large-Embedding-v0,1,3,21,25,17,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,avsolatorio/GIST-large-Embedding-v0,3,11,39,41,46,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,avsolatorio/GIST-large-Embedding-v0,5,18,44,44,55,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,avsolatorio/GIST-large-Embedding-v0,7,20,46,48,60,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,avsolatorio/GIST-large-Embedding-v0,10,23,49,56,66,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,avsolatorio/GIST-large-Embedding-v0,15,26,50,61,74,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,ibm-granite/granite-embedding-125m-english,1,3,21,25,14,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,ibm-granite/granite-embedding-125m-english,3,11,39,41,39,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,ibm-granite/granite-embedding-125m-english,5,18,44,44,52,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,ibm-granite/granite-embedding-125m-english,7,20,46,48,58,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,ibm-granite/granite-embedding-125m-english,10,23,49,56,61,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,ibm-granite/granite-embedding-125m-english,15,26,50,61,67,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,intfloat/e5-large-v2,1,3,21,25,15,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,intfloat/e5-large-v2,3,11,39,41,39,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,intfloat/e5-large-v2,5,18,44,44,55,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,intfloat/e5-large-v2,7,20,46,48,58,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,intfloat/e5-large-v2,10,23,49,56,63,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,intfloat/e5-large-v2,15,26,50,61,68,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,w601sxs/b1ade-embed,1,3,21,25,15,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,w601sxs/b1ade-embed,3,11,39,41,43,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,w601sxs/b1ade-embed,5,18,44,44,52,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,w601sxs/b1ade-embed,7,20,46,48,60,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,w601sxs/b1ade-embed,10,23,49,56,69,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,avsolatorio/GIST-large-Embedding-v0,w601sxs/b1ade-embed,15,26,50,61,74,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,Alibaba-NLP/gte-large-en-v1.5,1,3,21,22,19,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,Alibaba-NLP/gte-large-en-v1.5,3,11,39,41,36,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,Alibaba-NLP/gte-large-en-v1.5,5,18,44,51,45,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,Alibaba-NLP/gte-large-en-v1.5,7,20,46,51,53,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,Alibaba-NLP/gte-large-en-v1.5,10,23,49,62,55,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,Alibaba-NLP/gte-large-en-v1.5,15,26,50,65,61,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,avsolatorio/GIST-Embedding-v0,1,3,21,22,13,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,avsolatorio/GIST-Embedding-v0,3,11,39,41,45,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,avsolatorio/GIST-Embedding-v0,5,18,44,51,58,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,avsolatorio/GIST-Embedding-v0,7,20,46,51,61,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,avsolatorio/GIST-Embedding-v0,10,23,49,62,64,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,avsolatorio/GIST-Embedding-v0,15,26,50,65,74,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,avsolatorio/GIST-large-Embedding-v0,1,3,21,22,17,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,avsolatorio/GIST-large-Embedding-v0,3,11,39,41,46,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,avsolatorio/GIST-large-Embedding-v0,5,18,44,51,55,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,avsolatorio/GIST-large-Embedding-v0,7,20,46,51,60,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,avsolatorio/GIST-large-Embedding-v0,10,23,49,62,66,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,avsolatorio/GIST-large-Embedding-v0,15,26,50,65,74,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,ibm-granite/granite-embedding-125m-english,1,3,21,22,14,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,ibm-granite/granite-embedding-125m-english,3,11,39,41,39,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,ibm-granite/granite-embedding-125m-english,5,18,44,51,52,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,ibm-granite/granite-embedding-125m-english,7,20,46,51,58,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,ibm-granite/granite-embedding-125m-english,10,23,49,62,61,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,ibm-granite/granite-embedding-125m-english,15,26,50,65,67,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,intfloat/e5-large-v2,1,3,21,22,15,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,intfloat/e5-large-v2,3,11,39,41,39,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,intfloat/e5-large-v2,5,18,44,51,55,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,intfloat/e5-large-v2,7,20,46,51,58,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,intfloat/e5-large-v2,10,23,49,62,63,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,intfloat/e5-large-v2,15,26,50,65,68,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,w601sxs/b1ade-embed,1,3,21,22,15,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,w601sxs/b1ade-embed,3,11,39,41,43,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,w601sxs/b1ade-embed,5,18,44,51,52,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,w601sxs/b1ade-embed,7,20,46,51,60,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,w601sxs/b1ade-embed,10,23,49,62,69,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,ibm-granite/granite-embedding-125m-english,w601sxs/b1ade-embed,15,26,50,65,74,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,intfloat/e5-large-v2,Alibaba-NLP/gte-large-en-v1.5,1,3,21,21,19,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,intfloat/e5-large-v2,Alibaba-NLP/gte-large-en-v1.5,3,11,39,36,36,96
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP/gte-large-en-v1.5,intfloat/e5-large-v2,Alibaba-NLP/gte-large-en-v1.5,5,18,44,39,45,96
